city,country,year,cat,gat
Riyadh,Saudi Arabia,1843,24.74,8.17
Riyadh,Saudi Arabia,1844,15.45,7.65
Riyadh,Saudi Arabia,1845,20.82,7.85
Riyadh,Saudi Arabia,1846,,8.55
Riyadh,Saudi Arabia,1847,,8.09
Riyadh,Saudi Arabia,1848,24.56,7.98
Riyadh,Saudi Arabia,1849,24.80,7.98
Riyadh,Saudi Arabia,1850,24.34,7.90
Riyadh,Saudi Arabia,1851,25.03,8.18
Riyadh,Saudi Arabia,1852,24.85,8.10
Riyadh,Saudi Arabia,1853,24.93,8.04
Riyadh,Saudi Arabia,1854,24.72,8.21
Riyadh,Saudi Arabia,1855,24.92,8.11
Riyadh,Saudi Arabia,1856,24.57,8.00
Riyadh,Saudi Arabia,1857,24.26,7.76
Riyadh,Saudi Arabia,1858,25.01,8.10
Riyadh,Saudi Arabia,1859,24.95,8.25
Riyadh,Saudi Arabia,1860,24.94,7.96
Riyadh,Saudi Arabia,1861,24.13,7.85
Riyadh,Saudi Arabia,1862,23.77,7.56
Riyadh,Saudi Arabia,1863,24.28,8.11
Riyadh,Saudi Arabia,1864,25.03,7.98
Riyadh,Saudi Arabia,1865,25.23,8.18
Riyadh,Saudi Arabia,1866,24.92,8.29
Riyadh,Saudi Arabia,1867,25.22,8.44
Riyadh,Saudi Arabia,1868,25.00,8.25
Riyadh,Saudi Arabia,1869,25.30,8.43
Riyadh,Saudi Arabia,1870,25.02,8.20
Riyadh,Saudi Arabia,1871,24.73,8.12
Riyadh,Saudi Arabia,1872,24.87,8.19
Riyadh,Saudi Arabia,1873,25.24,8.35
Riyadh,Saudi Arabia,1874,24.98,8.43
Riyadh,Saudi Arabia,1875,24.43,7.86
Riyadh,Saudi Arabia,1876,24.89,8.08
Riyadh,Saudi Arabia,1877,25.47,8.54
Riyadh,Saudi Arabia,1878,25.51,8.83
Riyadh,Saudi Arabia,1879,25.24,8.17
Riyadh,Saudi Arabia,1880,24.80,8.12
Riyadh,Saudi Arabia,1881,25.63,8.27
Riyadh,Saudi Arabia,1882,24.66,8.13
Riyadh,Saudi Arabia,1883,25.19,7.98
Riyadh,Saudi Arabia,1884,24.80,7.77
Riyadh,Saudi Arabia,1885,24.98,7.92
Riyadh,Saudi Arabia,1886,24.98,7.95
Riyadh,Saudi Arabia,1887,24.81,7.91
Riyadh,Saudi Arabia,1888,25.13,8.09
Riyadh,Saudi Arabia,1889,25.52,8.32
Riyadh,Saudi Arabia,1890,25.07,7.97
Riyadh,Saudi Arabia,1891,25.39,8.02
Riyadh,Saudi Arabia,1892,25.22,8.07
Riyadh,Saudi Arabia,1893,25.19,8.06
Riyadh,Saudi Arabia,1894,24.66,8.16
Riyadh,Saudi Arabia,1895,24.69,8.15
Riyadh,Saudi Arabia,1896,24.88,8.21
Riyadh,Saudi Arabia,1897,24.86,8.29
Riyadh,Saudi Arabia,1898,24.88,8.18
Riyadh,Saudi Arabia,1899,25.12,8.40
Riyadh,Saudi Arabia,1900,25.29,8.50
Riyadh,Saudi Arabia,1901,25.55,8.54
Riyadh,Saudi Arabia,1902,25.25,8.30
Riyadh,Saudi Arabia,1903,24.64,8.22
Riyadh,Saudi Arabia,1904,25.07,8.09
Riyadh,Saudi Arabia,1905,24.87,8.23
Riyadh,Saudi Arabia,1906,24.85,8.38
Riyadh,Saudi Arabia,1907,24.44,7.95
Riyadh,Saudi Arabia,1908,24.95,8.19
Riyadh,Saudi Arabia,1909,25.57,8.18
Riyadh,Saudi Arabia,1910,24.75,8.22
Riyadh,Saudi Arabia,1911,24.24,8.18
Riyadh,Saudi Arabia,1912,24.96,8.17
Riyadh,Saudi Arabia,1913,24.63,8.30
Riyadh,Saudi Arabia,1914,24.94,8.59
Riyadh,Saudi Arabia,1915,25.38,8.59
Riyadh,Saudi Arabia,1916,24.85,8.23
Riyadh,Saudi Arabia,1917,25.03,8.02
Riyadh,Saudi Arabia,1918,24.66,8.13
Riyadh,Saudi Arabia,1919,25.39,8.38
Riyadh,Saudi Arabia,1920,24.94,8.36
Riyadh,Saudi Arabia,1921,24.84,8.57
Riyadh,Saudi Arabia,1922,25.35,8.41
Riyadh,Saudi Arabia,1923,25.10,8.42
Riyadh,Saudi Arabia,1924,25.69,8.51
Riyadh,Saudi Arabia,1925,25.00,8.53
Riyadh,Saudi Arabia,1926,25.19,8.73
Riyadh,Saudi Arabia,1927,25.29,8.52
Riyadh,Saudi Arabia,1928,25.39,8.63
Riyadh,Saudi Arabia,1929,25.36,8.24
Riyadh,Saudi Arabia,1930,25.39,8.63
Riyadh,Saudi Arabia,1931,25.38,8.72
Riyadh,Saudi Arabia,1932,24.96,8.71
Riyadh,Saudi Arabia,1933,24.67,8.34
Riyadh,Saudi Arabia,1934,24.97,8.63
Riyadh,Saudi Arabia,1935,25.61,8.52
Riyadh,Saudi Arabia,1936,25.15,8.55
Riyadh,Saudi Arabia,1937,25.08,8.70
Riyadh,Saudi Arabia,1938,25.11,8.86
Riyadh,Saudi Arabia,1939,25.16,8.76
Riyadh,Saudi Arabia,1940,25.51,8.76
Riyadh,Saudi Arabia,1941,25.37,8.77
Riyadh,Saudi Arabia,1942,25.49,8.73
Riyadh,Saudi Arabia,1943,24.96,8.76
Riyadh,Saudi Arabia,1944,25.60,8.85
Riyadh,Saudi Arabia,1945,25.30,8.58
Riyadh,Saudi Arabia,1946,25.49,8.68
Riyadh,Saudi Arabia,1947,26.00,8.80
Riyadh,Saudi Arabia,1948,24.85,8.75
Riyadh,Saudi Arabia,1949,24.82,8.59
Riyadh,Saudi Arabia,1950,24.98,8.37
Riyadh,Saudi Arabia,1951,26.10,8.63
Riyadh,Saudi Arabia,1952,25.72,8.64
Riyadh,Saudi Arabia,1953,25.51,8.87
Riyadh,Saudi Arabia,1954,25.80,8.56
Riyadh,Saudi Arabia,1955,25.33,8.63
Riyadh,Saudi Arabia,1956,25.02,8.28
Riyadh,Saudi Arabia,1957,24.69,8.73
Riyadh,Saudi Arabia,1958,25.64,8.77
Riyadh,Saudi Arabia,1959,24.14,8.73
Riyadh,Saudi Arabia,1960,25.67,8.58
Riyadh,Saudi Arabia,1961,25.12,8.80
Riyadh,Saudi Arabia,1962,26.10,8.75
Riyadh,Saudi Arabia,1963,25.54,8.86
Riyadh,Saudi Arabia,1964,25.14,8.41
Riyadh,Saudi Arabia,1965,25.59,8.53
Riyadh,Saudi Arabia,1966,26.16,8.60
Riyadh,Saudi Arabia,1967,24.87,8.70
Riyadh,Saudi Arabia,1968,25.21,8.52
Riyadh,Saudi Arabia,1969,26.05,8.60
Riyadh,Saudi Arabia,1970,25.84,8.70
Riyadh,Saudi Arabia,1971,24.93,8.60
Riyadh,Saudi Arabia,1972,24.74,8.50
Riyadh,Saudi Arabia,1973,25.60,8.95
Riyadh,Saudi Arabia,1974,25.40,8.47
Riyadh,Saudi Arabia,1975,25.04,8.74
Riyadh,Saudi Arabia,1976,24.97,8.35
Riyadh,Saudi Arabia,1977,25.99,8.85
Riyadh,Saudi Arabia,1978,25.95,8.69
Riyadh,Saudi Arabia,1979,26.20,8.73
Riyadh,Saudi Arabia,1980,25.83,8.98
